id,name,team,position,price,form,ppg,ownership,minutes_pct,ict_index,bonus,xgi_per90,fdr,fixture_ease,status,score
86,Brooks,BOU,MID,5.0,0.6,2.0,0.2,0.4023809523809524,88.4,4,0.65,3,3,a,14.5
686,Ngumoha,LIV,MID,4.3,0.4,1.5,0.8,0.040873015873015874,17.7,0,1.09,2,4,a,14.4
458,Mainoo,MUN,MID,4.6,3.0,1.9,1.4,0.3047619047619048,43.0,0,0.09,4,2,a,14.3
41,Pau,AVL,DEF,4.3,0.6,3.1,0.3,0.5142857142857142,34.6,2,0.06,3,3,a,14.2
561,Mayenda,SUN,FWD,5.2,1.4,2.1,0.5,0.2706349206349206,27.4,2,0.31,3,3,a,14.2
319,Castagne,FUL,DEF,4.3,0.8,1.4,0.1,0.44365079365079363,44.4,0,0.12,2,4,a,14.1
506,Murillo,NFO,DEF,5.2,0.8,3.5,1.9,0.6503968253968254,62.0,3,0.05,5,1,a,14.0
614,Ward-Prowse,BUR,MID,5.6,1.4,2.2,0.2,0.20952380952380953,29.6,0,0.21,3,3,a,14.0
358,Tanaka,LEE,MID,4.8,0.0,2.1,0.2,0.2924603174603175,34.5,2,0.17,2,4,a,13.8
415,Savinho,MCI,MID,6.9,0.2,1.7,0.4,0.21349206349206348,43.1,0,0.41,2,4,a,13.8
217,Foster,BUR,FWD,4.9,0.8,2.3,0.8,0.4222222222222222,44.2,4,0.21,3,3,a,13.7
44,Bogarde,AVL,DEF,4.0,2.0,1.5,0.6,0.2626984126984127,14.7,4,0.02,3,3,a,13.7
335,King,FUL,MID,4.4,0.2,1.8,1.8,0.3603174603174603,40.0,0,0.18,2,4,a,13.6
93,H.Traorè,BOU,MID,4.5,0.0,4.0,0.3,0.006349206349206349,3.1,0,0.0,3,3,u,13.5
486,Elanga,NEW,MID,6.5,1.6,1.5,2.6,0.4158730158730159,47.9,0,0.23,3,3,a,13.5
405,Aké,MCI,DEF,5.2,0.2,2.0,0.6,0.19246031746031747,21.8,1,0.13,2,4,a,13.5
